ano,sigla_uf,id_municipio,raca_cor,sexo,localizacao,idhm,idhm_l,idhm_e,idhm_r,idhm_subescolaridade,idhm_subfrequencia,prosperidade_social,proporcao_vulnerabilidade_socioeconomica,proporcao_sem_agua_esgoto,proporcao_sem_coleta,renda_per_capita,proporcao_sem_renda_18_mais,renda_trabalho,proporcao_vulneravel,razao_dependencia,fecundidade_total,taxa_envelhecimento,mortalidade_1_menos,proporcao_crianca_fora_escola_6_14,proporcao_analfabetismo_18_mais,proporcao_fundamental_completo_18_mais,proporcao_medio_completo_18_20,expectativa_vida,populacao_18_mais,populacao_65_mais
2010,PR,4109708,total,mulher,total,0.721,0.827,0.625,0.723,0.438,0.747,muito alto,3.19,0.51,1.03,720.33,7.77,63.4,32.75,47.55,1.57,8.55,15.51,4.02,15.64,43.79,48.18,74.62,10290,1213
2010,PR,4119301,total,mulher,total,0.666,0.802,0.573,0.644,0.415,0.673,médio,7.3,4.96,1.56,441.17,26.52,68.88,48.12,55.86,1.86,5.53,17.94,2.54,13.22,41.49,39.56,73.15,9441,845
2010,PR,4120408,total,mulher,total,0.721,0.832,0.657,0.687,0.456,0.789,muito alto,0.0,0.0,0.0,573.56,0.69,70.37,14.53,44.71,1.54,8.24,14.27,0.95,13.61,45.57,55.35,74.92,1659,191
2010,RS,4301651,total,mulher,total,0.766,0.869,0.674,0.766,0.47,0.807,muito alto,0.0,0.1,0.21,942.65,7.88,60.6,6.1,46.02,1.2,12.8,10.71,0.72,3.44,46.97,49.79,77.14,2187,363
2010,RS,4303673,total,mulher,total,0.699,0.823,0.58,0.717,0.389,0.707,alto,0.0,0.0,2.53,691.12,6.84,64.78,7.72,47.51,1.37,12.53,13.78,0.0,9.13,38.93,60.02,74.4,1202,196
2010,RS,4305447,total,mulher,total,0.621,0.824,0.444,0.655,0.229,0.617,alto,0.0,0.42,1.44,471.99,25.79,61.07,40.58,49.17,1.53,9.05,15.34,2.66,7.83,22.91,21.37,74.47,1654,210
2010,RS,4306502,total,mulher,total,0.597,0.799,0.424,0.629,0.247,0.555,baixo,0.0,0.32,0.65,401.47,23.13,58.09,49.16,53.02,1.52,10.65,18.01,5.37,12.13,24.73,20.35,72.92,4842,740
2010,RS,4308078,total,mulher,total,0.709,0.839,0.586,0.724,0.402,0.707,muito alto,0.0,0.86,0.27,723.81,16.04,68.94,17.17,51.27,1.56,9.44,14.07,1.36,3.88,40.23,53.9,75.33,1299,174
2010,RS,4310504,total,mulher,total,0.701,0.825,0.616,0.677,0.441,0.728,alto,7.5,2.55,1.06,540.66,20.32,51.6,41.75,46.94,1.37,11.2,15.01,2.48,7.79,44.1,39.91,74.5,2983,469
2010,RS,4311734,total,mulher,total,0.658,0.827,0.526,0.654,0.332,0.663,alto,1.69,1.33,0.0,467.36,43.03,41.5,42.97,48.47,1.59,9.06,15.6,4.86,11.66,33.22,27.56,74.63,1027,132
2010,RS,4320677,total,mulher,total,0.642,0.821,0.464,0.696,0.232,0.656,alto,0.0,6.05,0.0,607.58,16.4,58.57,28.8,49.02,1.41,13.83,15.42,1.48,9.25,23.21,29.2,74.28,3648,682
